code,report_date,publish_date
601009,2022-03-31,2022-04-16
601009,2022-06-30,2022-08-16
601009,2022-09-30,2022-10-29
601009,2022-12-31,2023-04-29
601009,2023-03-31,2023-04-29
601009,2023-06-30,2023-08-31
601009,2023-09-30,2023-10-31
601009,2023-12-31,2024-04-27
601009,2024-03-31,2024-04-27
601009,2024-06-30,2024-08-01
601009,2024-09-30,2024-10-24
601009,2024-12-31,2025-04-22
601009,2025-03-31,2025-04-22
601009,2025-06-30,2025-08-29
601009,2025-09-30,2025-10-28
601009,2025-12-31,2026-04-23
601009,2026-03-31,2026-04-23
601009,2026-06-30,2026-08-19
002001,2015-03-31,2015-04-28
002001,2015-06-30,2015-08-03
002001,2015-09-30,2015-10-30
002001,2015-12-31,2016-04-19
002001,2016-03-31,2016-04-28
002001,2016-06-30,2016-08-16
002001,2016-09-30,2016-10-28
002001,2016-12-31,2017-03-28
002001,2017-03-31,2017-04-24
002001,2017-06-30,2017-08-23
002001,2017-09-30,2017-10-26
002001,2017-12-31,2018-04-25
002001,2018-03-31,2018-04-28
002001,2018-06-30,2018-08-23
002001,2018-09-30,2018-10-22
002001,2018-12-31,2019-04-29
002001,2019-03-31,2019-04-29
002001,2019-06-30,2019-08-23
002001,2019-09-30,2019-10-24
002001,2019-12-31,2020-04-28
002001,2020-03-31,2020-04-28
002001,2020-06-30,2020-08-28
002001,2020-09-30,2020-10-29
002001,2020-12-31,2021-03-31
002001,2021-03-31,2021-04-29
002001,2021-06-30,2021-08-20
002001,2021-09-30,2021-10-29
002001,2021-12-31,2022-04-15
002001,2022-03-31,2022-04-28
002001,2022-06-30,2022-08-24
002001,2022-09-30,2022-10-26
002001,2022-12-31,2023-04-21
002001,2023-03-31,2023-04-21
002001,2023-06-30,2023-08-30
002001,2023-09-30,2023-10-27
002001,2023-12-31,2024-04-23
002001,2024-03-31,2024-04-30
002001,2024-06-30,2024-08-23
002001,2024-09-30,2024-10-24
002001,2024-12-31,2025-04-15
002001,2025-03-31,2025-04-29
002001,2025-06-30,2025-08-28
002001,2025-09-30,2025-10-29
002001,2025-12-31,2026-04-16
002001,2026-03-31,2026-04-29
002001,2026-06-30,2026-08-20
601021,2015-03-31,2015-04-30
601021,2015-06-30,2015-08-24
601021,2015-09-30,2015-10-31
601021,2015-12-31,2016-04-29
601021,2016-03-31,2016-04-29
601021,2016-06-30,2016-08-30
601021,2016-09-30,2016-10-31
601021,2016-12-31,2017-03-31
601021,2017-03-31,2017-04-29
601021,2017-06-30,2017-08-17
601021,2017-09-30,2017-10-31
601021,2017-12-31,2018-04-28
601021,2018-03-31,2018-04-28
601021,2018-06-30,2018-08-31
601021,2018-09-30,2018-10-31
601021,2018-12-31,2019-04-19
601021,2019-03-31,2019-04-30
601021,2019-06-30,2019-08-30
601021,2019-09-30,2019-10-31
601021,2019-12-31,2020-04-30
601021,2020-03-31,2020-04-30
601021,2020-06-30,2020-08-29
601021,2020-09-30,2020-10-31
601021,2020-12-31,2021-04-30
601021,2021-03-31,2021-04-30
601021,2021-06-30,2021-08-31
601021,2021-09-30,2021-10-30
601021,2021-12-31,2022-04-29
601021,2022-03-31,2022-04-29
601021,2022-06-30,2022-08-31
601021,2022-09-30,2022-10-29
601021,2022-12-31,2023-04-28
601021,2023-03-31,2023-04-28
601021,2023-06-30,2023-08-31
601021,2023-09-30,2023-10-31
601021,2023-12-31,2024-04-30
601021,2024-03-31,2024-04-30
601021,2024-06-30,2024-08-30
601021,2024-09-30,2024-10-31
601021,2024-12-31,2025-04-30
601021,2025-03-31,2025-04-30
601021,2025-06-30,2025-08-29
601021,2025-09-30,2025-10-31
601021,2025-12-31,2026-04-11
601021,2026-03-31,2026-04-30
601021,2026-06-30,2026-08-29
688981,2020-06-30,2020-08-28
688981,2020-09-30,2020-11-12
688981,2020-12-31,2021-04-01
688981,2021-03-31,2021-05-14
688981,2021-06-30,2021-08-28
688981,2021-09-30,2021-11-12
688981,2021-12-31,2022-03-31
688981,2022-03-31,2022-05-13
688981,2022-06-30,2022-08-27
688981,2022-09-30,2022-11-11
688981,2022-12-31,2023-03-29
688981,2023-03-31,2023-05-12
688981,2023-06-30,2023-08-26
688981,2023-09-30,2023-11-10
688981,2023-12-31,2024-03-29
688981,2024-03-31,2024-05-10
688981,2024-06-30,2024-08-30
688981,2024-09-30,2024-11-08
688981,2024-12-31,2025-03-28
688981,2025-03-31,2025-05-09
688981,2025-06-30,2025-08-29
688981,2025-09-30,2025-11-14
688981,2025-12-31,2026-03-27
688981,2026-03-31,2026-05-15
688981,2026-06-30,2026-08-28
601169,2015-03-31,2015-04-28
601169,2015-06-30,2015-08-26
601169,2015-09-30,2015-10-30
601169,2015-12-31,2016-04-27
601169,2016-03-31,2016-04-30
601169,2016-06-30,2016-08-31
601169,2016-09-30,2016-10-31
601169,2016-12-31,2017-04-26
601169,2017-03-31,2017-04-26
601169,2017-06-30,2017-08-31
601169,2017-09-30,2017-10-31
601169,2017-12-31,2018-04-27
601169,2018-03-31,2018-04-27
601169,2018-06-30,2018-08-30
601169,2018-09-30,2018-10-31
601169,2018-12-31,2019-04-25
601169,2019-03-31,2019-04-25
601169,2019-06-30,2019-08-28
601169,2019-09-30,2019-10-30
601169,2019-12-31,2020-04-28
601169,2020-03-31,2020-04-28
601169,2020-06-30,2020-08-28
601169,2020-09-30,2020-10-31
601169,2020-12-31,2021-04-30
601169,2021-03-31,2021-04-30
601169,2021-06-30,2021-08-28
601169,2021-09-30,2021-10-30
601169,2021-12-31,2022-04-30
601169,2022-03-31,2022-04-30
601169,2022-06-30,2022-08-31
601169,2022-09-30,2022-10-29
601169,2022-12-31,2023-04-08
601169,2023-03-31,2023-04-29
601169,2023-06-30,2023-08-31
601169,2023-09-30,2023-10-31
601169,2023-12-31,2024-04-12
601169,2024-03-31,2024-04-30
601169,2024-06-30,2024-08-31
601169,2024-09-30,2024-10-31
601169,2024-12-31,2025-04-15
601169,2025-03-31,2025-04-30
601169,2025-06-30,2025-08-30
601169,2025-09-30,2025-10-31
601169,2025-12-31,2026-04-28
601169,2026-03-31,2026-04-28
601169,2026-06-30,2026-08-29
601633,2015-03-31,2015-04-18
601633,2015-06-30,2015-08-29
601633,2015-09-30,2015-10-24
601633,2015-12-31,2016-03-25
601633,2016-03-31,2016-04-23
601633,2016-06-30,2016-08-27
601633,2016-09-30,2016-10-26
601633,2016-12-31,2017-03-25
601633,2017-03-31,2017-04-28
601633,2017-06-30,2017-08-26
601633,2017-09-30,2017-10-27
601633,2017-12-31,2018-03-24
601633,2018-03-31,2018-04-25
601633,2018-06-30,2018-08-31
601633,2018-09-30,2018-10-27
601633,2018-12-31,2019-03-23
601633,2019-03-31,2019-04-30
601633,2019-06-30,2019-08-27
601633,2019-09-30,2019-10-26
601633,2019-12-31,2020-04-25
601633,2020-03-31,2020-04-25
601633,2020-06-30,2020-08-29
601633,2020-09-30,2020-10-24
601633,2020-12-31,2021-03-31
601633,2021-03-31,2021-04-22
601633,2021-06-30,2021-08-28
601633,2021-09-30,2021-10-30
601633,2021-12-31,2022-03-30
601633,2022-03-31,2022-04-23
601633,2022-06-30,2022-08-31
601633,2022-09-30,2022-10-22
601633,2022-12-31,2023-03-31
601633,2023-03-31,2023-04-22
601633,2023-06-30,2023-08-31
601633,2023-09-30,2023-10-28
601633,2023-12-31,2024-03-29
601633,2024-03-31,2024-04-25
601633,2024-06-30,2024-08-30
601633,2024-09-30,2024-10-26
601633,2024-12-31,2025-03-29
601633,2025-03-31,2025-04-26
601633,2025-06-30,2025-08-30
601633,2025-09-30,2025-10-25
601633,2025-12-31,2026-03-28
601633,2026-03-31,2026-04-25
601633,2026-06-30,2026-08-26
000776,2015-03-31,2015-04-28
000776,2015-06-30,2015-08-22
000776,2015-09-30,2015-10-31
000776,2015-12-31,2016-03-19
000776,2016-03-31,2016-04-29
000776,2016-06-30,2016-08-27
000776,2016-09-30,2016-10-22
000776,2016-12-31,2017-03-25
000776,2017-03-31,2017-04-28
000776,2017-06-30,2017-08-26
000776,2017-09-30,2017-10-28
000776,2017-12-31,2018-03-24
000776,2018-03-31,2018-04-25
000776,2018-06-30,2018-08-30
000776,2018-09-30,2018-10-27
000776,2018-12-31,2019-03-27
000776,2019-03-31,2019-04-30
000776,2019-06-30,2019-08-30
000776,2019-09-30,2019-10-30
000776,2019-12-31,2020-03-28
000776,2020-03-31,2020-04-29
000776,2020-06-30,2020-08-29
000776,2020-09-30,2020-10-31
000776,2020-12-31,2021-03-30
000776,2021-03-31,2021-04-29
000776,2021-06-30,2021-08-28
000776,2021-09-30,2021-10-29
000776,2021-12-31,2022-03-31
000776,2022-03-31,2022-04-30
000776,2022-06-30,2022-08-31
000776,2022-09-30,2022-10-29
000776,2022-12-31,2023-03-31
000776,2023-03-31,2023-04-29
000776,2023-06-30,2023-08-31
000776,2023-09-30,2023-10-31
000776,2023-12-31,2024-03-29
000776,2024-03-31,2024-04-30
000776,2024-06-30,2024-08-31
000776,2024-09-30,2024-10-31
000776,2024-12-31,2025-03-29
000776,2025-03-31,2025-04-30
000776,2025-06-30,2025-08-30
000776,2025-09-30,2025-10-31
000776,2025-12-31,2026-03-31
000776,2026-03-31,2026-04-28
000776,2026-06-30,2026-08-29
601800,2015-03-31,2015-04-29
601800,2015-06-30,2015-08-29
601800,2015-09-30,2015-10-31
601800,2015-12-31,2016-03-29
601800,2016-03-31,2016-04-27
601800,2016-06-30,2016-08-31
601800,2016-09-30,2016-10-29
601800,2016-12-31,2017-03-29
601800,2017-03-31,2017-04-28
601800,2017-06-30,2017-08-30
601800,2017-09-30,2017-10-31
601800,2017-12-31,2018-03-30
601800,2018-03-31,2018-04-28
601800,2018-06-30,2018-08-29
601800,2018-09-30,2018-10-31
601800,2018-12-31,2019-03-30
601800,2019-03-31,2019-04-30
601800,2019-06-30,2019-08-31
601800,2019-09-30,2019-10-31
601800,2019-12-31,2020-04-01
601800,2020-03-31,2020-04-29
601800,2020-06-30,2020-08-29
601800,2020-09-30,2020-10-30
601800,2020-12-31,2021-03-31
601800,2021-03-31,2021-04-30
601800,2021-06-30,2021-08-31
601800,2021-09-30,2021-10-30
601800,2021-12-31,2022-03-31
601800,2022-03-31,2022-04-29
601800,2022-06-30,2022-08-31
601800,2022-09-30,2022-10-29
601800,2022-12-31,2023-03-31
601800,2023-03-31,2023-04-29
601800,2023-06-30,2023-08-29
601800,2023-09-30,2023-10-31
601800,2023-12-31,2024-03-29
601800,2024-03-31,2024-04-30
601800,2024-06-30,2024-08-31
601800,2024-09-30,2024-10-31
601800,2024-12-31,2025-03-28
601800,2025-03-31,2025-04-28
601800,2025-06-30,2025-08-30
601800,2025-09-30,2025-10-31
601800,2025-12-31,2026-03-31
601800,2026-03-31,2026-04-30
601800,2026-06-30,2026-08-28
302132,2015-03-31,2015-04-24
302132,2015-06-30,2015-08-25
302132,2015-09-30,2015-10-23
302132,2015-12-31,2016-03-24
302132,2016-03-31,2016-04-22
302132,2016-06-30,2016-08-26
302132,2016-09-30,2016-10-27
302132,2016-12-31,2017-03-14
302132,2017-03-31,2017-04-21
302132,2017-06-30,2017-08-25
302132,2017-09-30,2017-10-27
302132,2017-12-31,2018-03-15
302132,2018-03-31,2018-04-11
